condition,theta,task_id,category,task,plan,tool_calls,skipped_conditional,skipped_early_stop,skills_skipped,total_cost,latency_s,diagnosis_confidence,diagnosis_confidence_pre_deep,deep_tsfm_invoked,task_completion,error
A_raw_llm,,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""direct_llm""]",1,0,0,0,0.0,5.873,,,False,0.167,
A_raw_llm,,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""direct_llm""]",1,0,0,0,0.0,4.773,,,False,0.333,
A_raw_llm,,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""direct_llm""]",1,0,0,0,0.0,3.987,,,False,0.333,
A_raw_llm,,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""direct_llm""]",1,0,0,0,0.0,4.331,,,False,0.333,
A_raw_llm,,T05,fault_diagnosis,Chiller 9 vibration has been rising — should we schedule service?,"[""direct_llm""]",1,0,0,0,0.0,4.688,,,False,0.167,
A_raw_llm,,T06,forecasting,Predict COP for Chiller 6 next month and flag if maintenance needed.,"[""direct_llm""]",1,0,0,0,0.0,4.216,,,False,0.333,
A_raw_llm,,T07,fault_diagnosis,Chiller 6 refrigerant pressure is dropping and evaporator temp is off — diagnose,"[""direct_llm""]",1,0,0,0,0.0,3.812,,,False,0.0,
A_raw_llm,,T08,fault_diagnosis,Chiller 9 compressor power draw has spiked; explain the root cause.,"[""direct_llm""]",1,0,0,0,0.0,3.918,,,False,0.0,
A_raw_llm,,T09,fault_diagnosis,Something feels off with Chiller 6 — can you look into it?,"[""direct_llm""]",1,0,0,0,0.0,4.425,,,False,0.0,
A_raw_llm,,T10,forecasting,Project Chiller 9 compressor speed over the next 3 days.,"[""direct_llm""]",1,0,0,0,0.0,4.8,,,False,0.333,
A_raw_llm,,T11,anomaly_detection,Check Chiller 6 chilled-water supply temperature for anomalies this week.,"[""direct_llm""]",1,0,0,0,0.0,4.033,,,False,0.333,
A_raw_llm,,T12,metadata,List the sensors instrumented on Chiller 9 with their units.,"[""direct_llm""]",1,0,0,0,0.0,4.314,,,False,0.333,
B_tool_baseline,,T01,fault_diagnosis,Why is Chiller 6 behaving abnormally and do we need a work order?,"[""B_static_tools""]",4,0,0,0,1.0,1.9,,,False,0.333,
B_tool_baseline,,T02,forecasting,Forecast next week's condenser water flow for Chiller 9.,"[""B_static_tools""]",2,0,0,0,0.5,13.3,,,False,0.333,
B_tool_baseline,,T03,anomaly_detection,Was there any abnormal behavior in Chiller 9 over the past week?,"[""B_static_tools""]",4,0,0,0,1.0,1.586,,,False,0.333,
B_tool_baseline,,T04,metadata,"What sensors are available for Chiller 6, and what do they measure?","[""B_static_tools""]",1,0,0,0,0.25,0.0,,,False,0.333,
